open,high,low,close,volume,vwap,timestamp,transactions,otc
123.06,123.13,123,123.0585,36766,123.0723,1738198380000,386,
123,123.09,122.97,123.09,66199,123.0288,1738198440000,569,
123.1,123.1498,123.07,123.0996,30679,123.1023,1738198500000,376,
123.07,123.21,123.07,123.15,70956,123.1479,1738198560000,414,
123.17,123.28,123.13,123.2501,61296,123.2165,1738198620000,662,
123.27,123.27,123.17,123.24,41437,123.2459,1738198680000,331,
123.2395,123.32,123.22,123.2601,61962,123.269,1738198740000,489,
123.3,123.86,123.3,123.72,63461,123.5106,1738227600000,998,
123.74,124.17,123.7,124.14,41085,123.8932,1738227660000,647,
124.14,124.5,123.9,124.14,113102,124.265,1738227720000,1237,
124.14,124.29,124.09,124.19,32819,124.1923,1738227780000,484,
124.19,124.19,123.91,123.99,56894,124.0866,1738227840000,868,
123.95,123.98,123.81,123.96,33238,123.9024,1738227900000,546,
123.95,124.19,123.93,124.09,18745,124.0666,1738227960000,328,
124.08,124.19,124.08,124.17,18446,124.1185,1738228020000,220,
124.2,124.34,124.2,124.26,30469,124.2601,1738228080000,419,
124.26,124.5,124.16,124.47,46955,124.3274,1738228140000,525,
124.47,124.68,124.47,124.68,35325,124.5473,1738228200000,427,
124.66,124.66,124.48,124.48,35353,124.537,1738228260000,488,
124.49,124.49,124.22,124.32,55940,124.3707,1738228320000,436,
124.31,124.35,124.29,124.3,15125,124.325,1738228380000,268,
124.27,124.28,124.16,124.19,18039,124.2048,1738228440000,301,
124.19,124.35,124.16,124.31,13087,124.2556,1738228500000,280,
124.35,124.4,124.32,124.4,9280,124.3751,1738228560000,205,
124.4,124.4,124.32,124.33,4002,124.3604,1738228620000,178,
124.34,124.34,124.25,124.29,7686,124.2985,1738228680000,246,
124.3,124.38,124.28,124.38,7274,124.3113,1738228740000,135,
124.34,124.37,124.25,124.25,11426,124.3199,1738228800000,214,
124.26,124.29,124.18,124.27,7988,124.2448,1738228860000,242,
124.26,124.28,124.21,124.21,7681,124.2353,1738228920000,181,
124.24,124.28,123.99,124.04,46767,124.1018,1738228980000,737,
124,124.05,123.83,123.83,23676,123.92,1738229040000,392,
123.83,123.85,123.66,123.74,30845,123.7258,1738229100000,514,
123.76,123.88,123.7,123.88,12037,123.7647,1738229160000,179,
123.89,124.06,123.83,124.03,9036,123.9435,1738229220000,152,
124.07,124.16,124.04,124.13,10283,124.0931,1738229280000,182,
124.11,124.24,124,124.05,21405,124.1162,1738229340000,325,
124.04,124.04,123.8,123.87,17740,123.8881,1738229400000,348,
123.9,124.06,123.89,124.05,6985,124.0016,1738229460000,134,
124.07,124.1,123.97,123.97,26793,124.0145,1738229520000,210,
123.95,123.99,123.91,123.91,9214,123.9447,1738229580000,160,
123.94,124.04,123.94,124.03,11741,123.9901,1738229640000,158,
124.03,124.13,124.03,124.09,4936,124.0841,1738229700000,129,
124.09,124.11,124,124,8576,124.0509,1738229760000,204,
123.97,124,123.83,123.92,14193,123.9357,1738229820000,316,
123.95,124.07,123.95,124.07,8907,123.9957,1738229880000,125,
124.08,124.09,124.03,124.03,7226,124.0712,1738229940000,173,
124.06,124.06,123.92,124.02,9843,123.9891,1738230000000,223,
124.07,124.2,124.02,124.2,13871,124.0896,1738230060000,183,
124.19,124.19,124.04,124.12,14060,124.1301,1738230120000,188,
124.13,124.17,124.11,124.17,3649,124.1401,1738230180000,93,
124.17,124.2,124.15,124.2,4934,124.1786,1738230240000,121,
124.21,124.22,124.19,124.21,5522,124.2053,1738230300000,114,
124.2,124.22,124.17,124.21,4876,124.2067,1738230360000,140,
124.15,124.15,123.88,123.98,14931,124.0179,1738230420000,383,
123.97,123.97,123.9,123.96,8398,123.9439,1738230480000,169,
123.97,124.05,123.95,124.04,9473,123.9992,1738230540000,173,
124.02,124.07,124.02,124.04,1658,124.039,1738230600000,50,
124.07,124.08,123.97,123.97,6689,124.0383,1738230660000,200,
123.97,123.97,123.81,123.81,10313,123.8808,1738230720000,283,
123.8,123.8,123.52,123.54,46414,123.6871,1738230780000,689,
123.52,123.52,123.33,123.44,29404,123.4291,1738230840000,813,
123.44,123.65,123.44,123.65,16191,123.5872,1738230900000,234,
123.69,123.73,123.62,123.67,11130,123.6766,1738230960000,186,
123.64,123.65,123.48,123.48,8307,123.5634,1738231020000,255,
123.45,123.51,123.33,123.34,12775,123.4392,1738231080000,303,
123.33,123.57,123.3,123.51,20814,123.3848,1738231140000,839,
123.45,123.49,123.44,123.49,5538,123.4502,1738231200000,122,
123.5,123.63,123.5,123.54,9567,123.5344,1738231260000,136,
123.55,123.58,123.5,123.58,3956,123.5358,1738231320000,81,
123.56,123.68,123.53,123.67,6569,123.5806,1738231380000,102,
123.66,123.72,123.64,123.72,6616,123.6843,1738231440000,122,
123.72,123.72,123.49,123.5,14065,123.5908,1738231500000,259,
123.5,123.59,123.5,123.5,8056,123.5408,1738231560000,139,
123.49,123.66,123.45,123.6,34957,123.5519,1738231620000,194,
123.64,123.65,123.45,123.45,8263,123.5349,1738231680000,168,
123.49,123.49,123.12,123.15,32610,123.2851,1738231740000,1064,
123.16,123.34,123.15,123.34,8404,123.2532,1738231800000,144,
123.34,123.34,123.27,123.28,6677,123.2989,1738231860000,165,
123.23,123.35,123.21,123.3,10864,123.2555,1738231920000,185,
123.32,123.32,123.2,123.2,5221,123.2655,1738231980000,181,
123.2,123.2,123.14,123.14,4911,123.166,1738232040000,177,
123.11,123.22,123.09,123.18,10060,123.1439,1738232100000,266,
123.15,123.15,123.03,123.03,7626,123.0838,1738232160000,274,
123.02,123.03,122.72,122.79,52205,122.8783,1738232220000,1354,
122.82,122.83,122.65,122.65,15437,122.7352,1738232280000,305,
122.65,122.7,122.5,122.55,36300,122.5916,1738232340000,534,
122.54,122.57,122.25,122.27,52178,122.4218,1738232400000,901,
122.3,122.38,122.25,122.33,26782,122.3148,1738232460000,402,
122.35,122.65,122.32,122.53,22773,122.4888,1738232520000,317,
122.5,122.51,122.35,122.48,12706,122.4299,1738232580000,272,
122.51,122.7,122.44,122.67,32795,122.5456,1738232640000,327,
122.65,122.66,122.56,122.66,22606,122.6235,1738232700000,226,
122.68,122.75,122.5,122.52,13850,122.6072,1738232760000,276,
122.54,122.55,122.4,122.47,18499,122.4644,1738232820000,346,
122.47,122.51,122.42,122.51,8099,122.4664,1738232880000,182,
122.52,122.54,122.51,122.52,5399,122.5205,1738232940000,168,
122.54,122.7,122.54,122.7,10373,122.5972,1738233000000,173,
122.74,122.76,122.66,122.74,19465,122.7266,1738233060000,267,
122.7,122.73,122.6,122.62,10743,122.6591,1738233120000,243,
122.61,122.66,122.61,122.65,6848,122.6317,1738233180000,138,
122.64,122.66,122.62,122.64,4947,122.6409,1738233240000,115,
122.68,122.73,122.66,122.73,5941,122.6968,1738233300000,95,
122.75,122.85,122.75,122.77,18013,122.7952,1738233360000,221,
122.76,122.77,122.69,122.72,13490,122.7308,1738233420000,228,
122.73,122.79,122.64,122.66,8263,122.7153,1738233480000,244,
122.64,122.7,122.62,122.66,10223,122.6615,1738233540000,173,
122.66,122.77,122.66,122.73,3025,122.6985,1738233600000,95,
122.75,122.85,122.7,122.83,16606,122.7716,1738233660000,215,
122.85,122.9,122.77,122.77,9023,122.8446,1738233720000,184,
122.81,122.84,122.75,122.8,9050,122.8015,1738233780000,134,
122.8,122.8,122.75,122.79,6490,122.7794,1738233840000,151,
122.8,122.8,122.66,122.66,14515,122.728,1738233900000,283,
122.64,122.64,122.52,122.6,23022,122.5556,1738233960000,402,
122.6,122.67,122.59,122.67,17879,122.6151,1738234020000,156,
122.66,122.71,122.65,122.7,8761,122.6851,1738234080000,147,
122.67,122.67,122.61,122.61,3016,122.6379,1738234140000,112,
122.6,122.6,122.3,122.34,51434,122.4456,1738234200000,843,
122.35,122.39,122.19,122.19,30593,122.2701,1738234260000,620,
122.19,122.37,122.08,122.15,41831,122.1858,1738234320000,647,
122.13,122.16,122.03,122.08,27553,122.0852,1738234380000,406,
122.09,122.11,122,122.1,27563,122.0342,1738234440000,347,
122.06,122.14,122.01,122.14,12040,122.0827,1738234500000,216,
122.19,122.24,122.1,122.17,13109,122.1819,1738234560000,252,
122.18,122.22,122.15,122.18,6265,122.1908,1738234620000,177,
122.13,122.33,122.12,122.28,12920,122.2199,1738234680000,217,
122.28,122.38,122.26,122.33,11570,122.3161,1738234740000,201,
122.34,122.39,122.31,122.38,8773,122.3494,1738234800000,154,
122.38,122.39,122.17,122.26,25631,122.2856,1738234860000,465,
122.28,122.31,122.22,122.3,12214,122.259,1738234920000,189,
122.25,122.29,122.2,122.2,11237,122.2256,1738234980000,235,
122.18,122.22,122.12,122.22,24131,122.1627,1738235040000,360,
122.19,122.23,122.15,122.16,11077,122.1826,1738235100000,191,
122.18,122.21,122.01,122.01,24060,122.1013,1738235160000,505,
